,,,,,,Totals,,,,,,,,,,,,,,Shooting,,,Per Game,,,
Rk,Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PS/G,TRB,AST
15,Quinn Cook\cookqu01,23,1,14,188,33,66,11,26,2,5,1,7,26,4,0,13,13,79,0.5,0.423,0.4,13.4,5.6,0.5,1.9
16,Deyonta Davis\davisde01,20,1,36,238,24,47,0,0,10,18,20,60,2,3,17,8,40,58,0.511,,0.556,6.6,1.6,1.7,0.1
17,Malcolm Delaney\delanma01,27,1,73,1248,145,388,26,110,75,93,10,123,193,39,1,95,112,391,0.374,0.236,0.806,17.1,5.4,1.7,2.6
18,Cheick Diallo\diallch01,20,1,17,199,36,76,0,0,15,21,23,73,4,4,7,7,17,87,0.474,,0.714,11.7,5.1,4.3,0.2
19,Kris Dunn\dunnkr01,22,1,78,1333,118,313,21,73,36,59,24,166,188,78,36,89,178,293,0.377,0.288,0.61,17.1,3.8,2.1,2.4
20,Henry Ellenson\ellenhe01,20,1,19,146,23,64,10,35,4,8,8,41,7,1,1,14,6,60,0.359,0.286,0.5,7.7,3.2,2.2,0.4
21,Joel Embiid\embiijo01,22,1,31,786,200,429,36,98,191,244,61,243,66,27,76,117,112,627,0.466,0.367,0.783,25.4,20.2,7.8,2.1
22,Kay Felder\feldeka01,21,1,42,386,62,158,7,22,35,49,3,41,58,18,7,30,38,166,0.392,0.318,0.714,9.2,4,1,1.4
23,Yogi Ferrell\ferreyo01,23,1,46,1197,160,394,68,176,74,89,20,111,172,42,9,70,90,462,0.406,0.386,0.831,26,10,2.4,3.7
24,Dorian Finney-Smith\finnedo01,23,1,81,1642,124,333,56,191,46,61,55,222,67,52,25,45,125,350,0.372,0.293,0.754,20.3,4.3,2.7,0.8
25,Bryn Forbes\forbebr01,23,1,36,285,36,99,17,53,5,6,2,23,23,1,0,11,20,94,0.364,0.321,0.833,7.9,2.6,0.6,0.6
26,Patricio Garino\garinpa01,23,1,5,43,0,7,0,5,0,0,1,7,0,0,0,3,4,0,0,0,,8.6,0,1.4,0
27,Michael Gbinije\gbinimi01,24,1,9,32,1,10,0,4,2,2,2,3,2,0,0,0,2,4,0.1,0,1,3.6,0.4,0.3,0.2
28,Marcus Georges-Hunt\georgma01,22,1,5,48,2,7,1,2,9,10,1,9,3,1,0,2,5,14,0.286,0.5,0.9,9.6,2.8,1.8,0.6
29,Jonathan Gibson\gibsojo01,29,1,17,231,35,95,15,45,21,29,1,22,26,8,0,21,21,106,0.368,0.333,0.724,13.6,6.2,1.3,1.5
30,Treveon Graham\grahatr01,23,1,27,189,19,40,9,15,10,15,5,22,6,6,1,3,18,57,0.475,0.6,0.667,7,2.1,0.8,0.2
31,A.J. Hammons\hammoaj01,24,1,22,163,17,42,5,10,9,20,8,36,4,1,13,10,21,48,0.405,0.5,0.45,7.4,2.2,1.6,0.2
32,Andrew Harrison\harrian01,22,1,72,1474,117,360,43,156,148,194,23,136,198,53,21,85,194,425,0.325,0.276,0.763,20.5,5.9,1.9,2.8
33,Juan Hernangomez\hernaju01,21,1,62,842,101,224,46,113,57,76,43,187,29,30,12,31,62,305,0.451,0.407,0.75,13.6,4.9,3,0.5
34,Willy Hernangomez\hernawi01,22,1,72,1324,246,465,4,15,91,125,170,502,96,41,36,100,150,587,0.529,0.267,0.728,18.4,8.2,7,1.3
35,Buddy Hield\hieldbu01,23,1,82,1888,327,767,148,379,64,76,35,269,121,38,9,101,115,866,0.426,0.391,0.842,23,10.6,3.3,1.5
36,Danuel House\houseda01,23,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,1,0,1,0
37,Brandon Ingram\ingrabr01,19,1,79,2279,276,686,55,187,133,214,60,316,166,50,36,116,158,740,0.402,0.294,0.621,28.8,9.4,4,2.1
38,Demetrius Jackson\jacksde01,22,1,5,17,3,4,1,1,3,6,2,4,3,0,0,0,0,10,0.75,1,0.5,3.4,2,0.8,0.6
39,Pierre Jackson\jackspi01,25,1,8,84,13,39,3,11,6,7,1,9,19,2,0,3,5,35,0.333,0.273,0.857,10.5,4.4,1.1,2.4
40,Brice Johnson\johnsbr02,22,1,3,9,2,7,0,0,0,0,1,3,1,2,1,1,0,4,0.286,,,3,1.3,1,0.3
41,Damian Jones\jonesda03,21,1,10,85,8,16,0,0,3,10,9,23,0,1,4,6,15,19,0.5,,0.3,8.5,1.9,2.3,0
42,Derrick Jones\jonesde02,19,1,32,545,68,121,3,11,29,41,39,79,12,14,13,13,63,168,0.562,0.273,0.707,17,5.3,2.5,0.4
43,Mindaugas Kuzminskas\kuzmimi01,27,1,68,1016,158,369,54,168,55,68,47,126,69,29,11,51,79,425,0.428,0.321,0.809,14.9,6.3,1.9,1
44,Skal Labissiere\labissk01,20,1,33,612,117,218,3,8,52,74,51,162,27,16,13,37,64,289,0.537,0.375,0.703,18.5,8.8,4.9,0.8
45,Nicolas Laprovittola\laproni01,27,1,18,174,20,47,10,27,9,9,1,10,28,4,1,19,19,59,0.426,0.37,1,9.7,3.3,0.6,1.6
46,Jake Layman\laymaja01,22,1,35,249,26,89,13,51,13,17,6,24,11,9,3,11,22,78,0.292,0.255,0.765,7.1,2.2,0.7,0.3
47,Caris LeVert\leverca01,22,1,57,1237,171,380,59,184,67,93,23,188,110,49,8,59,91,468,0.45,0.321,0.72,21.7,8.2,3.3,1.9
48,Shawn Long\longsh01,24,1,18,234,61,109,7,19,19,35,41,85,13,9,9,13,49,148,0.56,0.368,0.543,13,8.2,4.7,0.7
49,Timothe Luwawu-Cabarrot\luwawti01,21,1,69,1190,145,361,50,161,105,123,25,149,75,32,10,73,154,445,0.402,0.311,0.854,17.2,6.4,2.2,1.1
